Disease	StudyCount	LR	SNPCount	MaxLR	probability	citation	comment	PostTest	PostTestWithMax
Multiple system atrophy	1	5.24169	1	5.24169	4.6e-05	http://en.wikipedia.org/wiki/Multiple_system_atrophy	general population	0.000241070702829284	0.000241070702829284
Myeloproliferative disorders	2	3.27389	1	3.27389	0.0014	http://emedicine.medscape.com/article/204714-overview	40-60 years olds	0.00456890114990992	0.00456890114990992
Myocardial infarction	10	1.73888613142719	7	1.72219	0.02			0.034271271287332	0.0339533841105836
Narcolepsy	4	2.763931394	2	2.16643	7e-04	http://www.rightdiagnosis.com/n/narcolepsy/basics.htm	US general population	0.00193236598308442	0.00151526378560379
Obesity	31	2.49323329948751	11	1.63853	0.252			0.456511784658715	0.35567762918586
Osteoarthritis	3	0.656013237147	2	0.699687	0.398			0.302508753049606	0.316278476124103
Ovarian cancer	2	0.736869	1	0.736869	0.014	http://www.wrongdiagnosis.com/o/ovarian_cancer/prevalence.htm	Life time risk	0.0103543095575948	0.0103543095575948
Paget's disease	14	0.9314603352022	9	2.27402	0.03			0.0280013862248377	0.0657091566089134
Parkinson's disease	59	5.84648119344218	29	1.9109	0.067			0.295697161051329	0.120666016795185
Polycystic ovary syndrome	21	0.156256003911035	7	0.491903	0.075	http://www.wrongdiagnosis.com/p/pcos/prevalence.htm	ages 20-40	0.0125109000537811	0.0383543029707393
Primary sclerosing cholangitis	8	0.445004751215558	6	0.483932	0.000654	PubMed 11113084	Olmsted County in 1995	0.000291138781033673	0.000316598382636361
Psoriasis	41	0.382777169406608	16	0.518124	0.0202			0.00782971898456443	0.0105689821647625
Psoriatic arthritis	16	0.334131636792867	8	0.468854	0.01	PMID 15708927	0.003 to 0.01	0.00336371427712876	0.0047135759702228
Rheumatoid arthritis	239	0.0121521596548126	78	4.67323	0.028			0.000349939711608942	0.118647493126992
Schizophrenia	3	1.17558650359435	3	1.08554	0.01			0.0117352595040925	0.0108461222270470
Stroke	3	1.7982201737	2	2.1157	0.169			0.267776386528576	0.300830682141053
Systemic lupus erythematosus	164	0.100639794769918	48	0.36	0.001			0.000100730387672048	0.000360230547550432
Systemic sclerosis	42	0.548203335239899	26	1.51468	0.00024			0.000131583068167497	0.000363478301997007
Thyroid cancer	13	0.82181758788	2	0.631206	0.008			0.00658392582131249	0.00506459032419216
Type 1 diabetes	86	0.0197203355560379	32	0.150231	0.004			7.91918629153732e-05	0.000602973552932407
Type 2 diabetes	202	0.466674996873107	23	0.6	0.27			0.147198502433858	0.181614349775785
Ulcerative colitis	23	0.251135951104459	12	0.475285	0.005			0.00126039909336370	0.00238267612952652
Uterine leiomyoma	20	3.1882385312655	4	2.03064	0.33	http://www.aafp.org/afp/2007/0515/p1503.html	female age 40-60	0.610944359386728	0.500041489094338
Vitiligo	20	5.47027844802078	19	2.74612	0.0053	http://sfx.stanford.edu/local?sid=Entrez:PubMed&id=pmid:4054593	Indian female with age 40-49	0.0283214700318813	0.0144209779822063
